PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Christenson, RE; Spencer, BF; Johnson, EA; Seto, K		Werely, NM		Christenson, RE; Spencer, BF; Johnson, EA; Seto, K			Coupled building control using "smart" damping strategies	SMART STRUCTURES AND MATERIAL 2000: SMART STRUCTURES AND INTEGRATED SYSTEMS	Proceedings of SPIE		English	Proceedings Paper	Smart Structures and Materials 2000 Conference	MAR 05-09, 2000	NEWPORT BEACH, CA	SPIE, Soc Exptl Mech, Amer Soc Mech Engn, BFGoodrich, Def Adv Res Projects Agcy, USA Res Off, USAF Res Lab, Ceram Soc Japan, Intelligent Mat Forum, Japan		coupled building control; smart dampers; semiactive damping; structural control		Coupling adjacent buildings with supplemental damping devices is a developing method of mitigating structural responses due to wind and seismic excitations. The concept is to allow structures, vibrating at different frequencies, to exert control forces upon one another to reduce the overall responses of the system. Previous studies have identified optimal coupled building configurations and have introduced passive, active and "smart" damping control strategies. This paper will focus on the application of "smart" dampers as coupling link devices to produce control forces between three tall buildings. Smart dampers are semi-active dampers capable of changing their dynamic characteristics in real-time to allow for a variety of control forces to be produced without requiring significant energy. A clipped optimal control strategy is employed for the smart dampers that can provide increased performance, over a comparable passive control strategy, during moderately severe seismic events.	Univ Notre Dame, Dept Civil Engn & Geo Sci, Notre Dame, IN 46556 USA	Christenson, RE (reprint author), Univ Notre Dame, Dept Civil Engn & Geo Sci, Notre Dame, IN 46556 USA.	rchriste@nd.edu	Johnson, Erik/D-6954-2013				Christenson RE, 1999, OPTIMIZATION AND CONTROL IN CIVIL AND STRUCTURAL ENGINEERING, P187; Clough R. W., 1993, DYNAMIC STRUCTURES; Dyke SJ, 1996, SMART MATER STRUCT, V5, P565, DOI 10.1088/0964-1726/5/5/006; DYKE SJ, 1996, [No title captured], P145; FUKUDA Y, 1996, P 3 INT C MOT VIBR C, V3, P12; GURLEY K, 1994, STRUCTURAL SAFETY & RELIABILITY, VOLS 1-3, P1553; IEMURA H, 1998, DYNAMIC RESPONSE CON; Kamagata K., 1996, P 3 INT C MOT VIBR C, V2, P334; KLEIN RE, 1972, 1972 ASE WINT ANN M; KLEIN RE, 1987, P 2 INT C STRUCT CON, P354; Kunieda M., 1976, J JSME, V79, P86; Luco JE, 1998, EARTHQUAKE ENG STRUC, V27, P649, DOI 10.1002/(SICI)1096-9845(199807)27:7<649::AID-EQE748>3.0.CO;2-5; Meirovitch L., 1986, ELEMENTS VIBRATION A; MITSUTA S, 1992, P 1 INT C MOT VIBR C, V1, P146; Seto K, 1996, IEEE DECIS CONTR P, P658, DOI 10.1109/CDC.1996.574407; Seto K, 1994, P 1 WORLD C STRUCT C; SOONG TT, 1993, RANDOM VIBRATION MEC; Spencer BF, 1997, IEEE CONTR SYST MAG, V17, P19, DOI 10.1109/37.642972; Xu YL, 1999, ENG STRUCT, V21, P135, DOI 10.1016/S0141-0296(97)00154-5	19	5	5	0	1	SPIE-INT SOC OPTICAL ENGINEERING	BELLINGHAM	1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98227-0010 USA	0277-786X	1996-756X	0-8194-3603-8	PROC SPIE			2000	3985						482	490		10.1117/12.388850			9	Automation & Control Systems; Engineering, Electrical & Electronic; Materials Science, Ceramics	Automation & Control Systems; Engineering; Materials Science	BQ59C	WOS:000088899900044					2020-01-29	
S	Penner, RR; Steinmetz, ES			IEEE; IEEE	Penner, RR; Steinmetz, ES			Dynamic user interface adaptation based on operator role and task models	SMC 2000 CONFERENCE PROCEEDINGS: 2000 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN & CYBERNETICS, VOL 1-5	IEEE International Conference on Systems Man and Cybernetics Conference Proceedings		English	Proceedings Paper	IEEE International Conference on Systems, Man and Cybernetics	OCT 08-11, 2000	NASHVILLE, TN	IEEE Inc, Syst Man & Cybernet Soc				Proper design of human-computer interactions currently requires the application of specialized knowledge possessed by talented individuals, often responding to rapidly changing technology and functionality. As computing power and data become more distributed, static design of interactions for dynamic environments may not always produce usable interfaces between people and machines. We have designed a model-based, dynamic interaction design system called DIG (Dynamic Interaction Generation) and implemented it in a research prototype using the domain of digital building control systems. DIGBE is a three-tiered system modeling the domain data, the current interaction, and the device-specific presentation of the interaction. It responds to changes in the environment and creates, in real-time, an interaction tailored to the current user role, access level, and task. Each interaction is also specialized to match the nature of the information that is currently the focus of the interaction. Full automatic synthesis of any interface at any time may not yet be feasible, but DIGBE demonstrates that it is both possible and useful to automatically generate user interfaces. This may be especially true for complex systems domains with variable components but known task structures.	Univ Minnesota, Minneapolis, MN 55455 USA	Penner, RR (reprint author), Univ Minnesota, Minneapolis, MN 55455 USA.	rpenner@me.umn.edu; erik@steinmetz.org					BYRNE M, 1994, P 1994 C HUM FACT CO; CASNER SM, 1991, ACM T GRAPHIC, V10, P111, DOI 10.1145/108360.108361; FOLEY J, 1988, P 1988 C HUM FACT CO, P67; Galitz WO, 1997, ESSENTIAL GUIDE USER; Mandel T., 1997, ELEMENTS USER INTERF; MONAFRED R, 1998, P I MECH ENG B-MANAG, V1212, P501; PENNER R, 1992, DEV PROCESS CONTROL, P317; PENNER R, 1994, P EN SOURC TECHN C A, P375; PENNER R, 1993, SCI HONEYWELLER, P106; PENNER R, 1997, FACILITATING HUMAN I, P714; PENNER R, 2000, 2000 AAAI SPRING S M, P98; PUERTA AR, 1994, PROCEEDINGS OF THE TWELFTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOLS 1 AND 2, P471; ROTH SF, 1990, P C HUM FACT COMP SY, P193; SELIGMANN DD, 1991, COMP GRAPH, V25, P123; SZEKELY P, 1996, COMPUTERAIDED DESIGN; SZEKELY P, 1993, [No title captured], P383; VANDERDONCKT J, 1998, INTELLIGENT USER INT; WIECHA C, 1989, T INFORMATION SYSTEM, V8, P204; ZHOU M, 1997, [No title captured], P129; Zhou MX, 1996, IEEE SYMPOSIUM ON INFORMATION VISUALIZATION '96, PROCEEDINGS, P13, DOI 10.1109/INFVIS.1996.559211; ZHOU MX, 1998, P SIGCHI C HUM FACT, P392, DOI DOI 10.1145/274644.274698	21	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1062-922X		0-7803-6583-6	IEEE SYS MAN CYBERN			2000							1105	1110					6	Computer Science, Cybernetics; Engineering, Electrical & Electronic	Computer Science; Engineering	BR32T	WOS:000166106900192					2020-01-29	
J	Loh, CH; Lin, PY; Chung, NH				Loh, CH; Lin, PY; Chung, NH			Experimental verification of building control using active bracing system	EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS			English	Article							SEISMIC STRUCTURES	The objective of this paper is to examine the effectiveness of some control algorithms which will be implemented through experimental verification of a seismic-excited full-scale building. A full-scale 3-storey steel building with active bracing control system was tested at a three-dimensional shaking table of NCREE, Taiwan. The active bracing control system was installed at the first floor. Three different control algorithms were used for the experimental verification: static-output-feedback LQR control modal control with direct output feedback, and static-output-feedback with variable gain. It is concluded that within the maximum capacity of the actuator in the experiment all the three control algorithms performed well and almost 50 per cent of displacement as well as the acceleration of each floor response was reduced. Copyright (C) 1999 John Wiley & Sons, Ltd.	Natl Taiwan Univ, Dept Civil Engn, Taipei 10764, Taiwan; Natl Ctr Res Earthquake Engn, Taipei, Taiwan	Loh, CH (reprint author), Natl Taiwan Univ, Dept Civil Engn, Taipei 10764, Taiwan.						BALAS MJ, 1979, J ASTRONAUT SCI, V27, P157; Bryson A. E., 1975, APPL OPTIMAL CONTROL; CHUNG LL, 1988, J ENG MECH-ASCE, V114, P241, DOI 10.1061/(ASCE)0733-9399(1988)114:2(241); CHUNG LL, 1989, J ENG MECH-ASCE, V115, P1609, DOI 10.1061/(ASCE)0733-9399(1989)115:8(1609); Dyke S. J., 1994, NCEER940024; Dyke SJ, 1996, J ENG MECH-ASCE, V122, P907, DOI 10.1061/(ASCE)0733-9399(1996)122:9(907); Loh CH, 1997, STRUCT DES TALL BUIL, V6, P209; LOH CH, 1998, 2 WCSC KYOT JUN; REIHORN AM, 1993, J STRUCT ENG-ASCE, V119, P1935; RODELLAR J, 1987, J ENG MECH-ASCE, V113, P797, DOI 10.1061/(ASCE)0733-9399(1987)113:6(797); SCHMITENDORF WE, 1994, EARTHQUAKE ENG STRUC, V23, P539, DOI 10.1002/eqe.4290230506; SOONG TT, 1991, J STRUCT ENG-ASCE, V117, P3516, DOI 10.1061/(ASCE)0733-9445(1991)117:11(3516); YANG JN, 1994, P 1 WORLD C STRUC TP, V4, P63; YANG JN, 1993, DYNAMICS CONTROL LAR, P167	14	18	19	0	0	JOHN WILEY & SONS LTD	W SUSSEX	BAFFINS LANE CHICHESTER, W SUSSEX PO19 1UD, ENGLAND	0098-8847			EARTHQUAKE ENG STRUC	Earthq. Eng. Struct. Dyn.	OCT	1999	28	10					1099	1119		10.1002/(SICI)1096-9845(199910)28:10<1099::AID-EQE857>3.0.CO;2-#			21	Engineering, Civil; Engineering, Geological	Engineering	242VT	WOS:000082962900002					2020-01-29	
J	Seem, JE; House, JM; Monroe, RH				Seem, JE; House, JM; Monroe, RH			On-line monitoring and fault detection	ASHRAE JOURNAL			English	Article								Modern energy management and control systems have alarm and trend features that allow building operators to monitor and troubleshoot building systems. The alarm feature can provide nearly immediate feedback when, for instance, a sensor value is outside specified limits. Using the trend feature, building operators can view graphs of sensor and controller output versus time. In the case of an alarm, information obtained using the trend feature can assist the operator in isolating the cause of the alarm. However, it can be difficult to select the alarm limits. If the limits are too narrow, the building control system likely will issue a number of false alarms and building operators eventually will ignore them. If the limits are too wide, faulty conditions will tend to go unnoticed because alarms are not issued.	Johnson Controls Inc, Milwaukee, WI 53201 USA; Natl Inst Stand & Technol, Bldg Environm Div, Bldg & Fire Res Lab, Gaithersburg, MD 20899 USA	Seem, JE (reprint author), Johnson Controls Inc, Milwaukee, WI 53201 USA.						Montgomery DC, 1991, INTRO STAT QUALITY C; PANDIT SM, 1983, [No title captured]; Seborg D. E., 1989, PROCESS DYNAMICS CON; SEEM JE, 1997, CLIMA 2000 BRUSS AUG; strom KA, 1995, PID CONTROLLERS THEO; YOSHIDA Y, 1996, BUILDING OPTIMIZATIO	6	13	13	1	2	AMER SOC HEATING REFRIGERATING AIR-CONDITIONING ENG, INC,	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329 USA	0001-2491			ASHRAE J	ASHRAE J.	JUL	1999	41	7					21	26					6	Thermodynamics; Construction & Building Technology; Engineering, Mechanical	Thermodynamics; Construction & Building Technology; Engineering	235EY	WOS:000082528300015					2020-01-29	
J	Chan, EHW; Chan, ATS				Chan, EHW; Chan, ATS			Imposing ISO 9000 quality assurance system on statutory agents in Hong Kong	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT-ASCE			English	Article								A major part of the building control system in any country has to do with quality assurance (QA) of building the process and the products. As in many other countries, the government of the Hong Kong Special Administration Region delegates part of its statutory role to statutory agents to deal with the QA function. As a case study in the context of the Hong Kong construction industry, the relationship between QA and the role of statutory agents is investigated. An authorized person (AP), normally an architect, is the statutory agent as an integral part of the property development control system in Hong Kong. Although AP's statutory roles have already been recognized, their formal roles in respect of QA have never been studied. This paper, being supported by a research project carried out in 1997, presents the result of a study on the relationship between the QA system and the AP practice. The research revealed that in the APs' professional practice most of them have a basic concept and awareness of QA. Their checklists to run projects are similar to a QA manual. To discharge their statutory duties APs are already performing most of the QA standards similar to the ISO 9001 requirements. This paper concludes that the ISO 9000 requirements could be an extra administrative burden to a statutory agent.	Hong Kong Polytech Univ, Dept Bldg & Real Estate, Kowloon, Hong Kong; Swire Properties Ltd, Hong Kong, Hong Kong	Chan, EHW (reprint author), Hong Kong Polytech Univ, Dept Bldg & Real Estate, Kowloon, Hong Kong.		Chan, Edwin HW/D-9630-2012	Chan, Edwin HW/0000-0003-4841-6956			Abdul-Rahman H, 1996, CONSTRUCTION MANAGEM, V14, P485, DOI [10.1080/014461996373197, DOI 10.1080/014461996373197]; ALNAKIB AAR, 1995, P 11 ANN C 1995 ASS, P443; Chan A.P.C., 1996, ARCHI SCI REV, V39, P107; Chan E.H.W., 1998, REAL ESTATE DEV HONG, P66; CHAN EHW, 1996, P CIB W99 BEIJ INT C, P1; CHAN EHW, 1997, ASIA PACIFIC BUILD C, V3, P13; EMMITT S, 1996, P CIB W99 BEIJ INT C, P1; GRIFFITH A, 1987, BUILD TECHNOL MA JUN, P10; HO E, 1996, UNDER DOME, P1; *HONG KONG POL HKP, 1991, CONSTR REV FOC QUAL, P1; *HONG KONG QUAL AS, 1997, BUYERS GUID; LOVEGROVE K, 1997, 13 PLEN M CIBW 7 LOV, P1; LOW SP, 1997, HONG KONG I ARCHIT J, P30; LOW SP, 1996, HONG KONG I ARCHIT J, P70; SHEN LY, 1995, P 1 INT C CONSTR PRO, P413; VANECKVANPEET HPR, 1992, INT J QUALITY RELIAB, V9, P23; VISSCHER HJ, 1996, P 1996 WORLD ORG BUI, P1; WATSON P, 1997, BUILD ENG ENGLAND, V72, P23; *WORKS BUR, 1997, 1797 HKSAR WORKS BUR; Yates JK, 1997, J CONSTR ENG M ASCE, V123, P127, DOI 10.1061/(ASCE)0733-9364(1997)123:2(127)	20	8	8	0	1	ASCE-AMER SOC CIVIL ENGINEERS	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398 USA	0733-9364			J CONSTR ENG M ASCE	J. Constr. Eng. Manage.-ASCE	JUL-AUG	1999	125	4					285	291		10.1061/(ASCE)0733-9364(1999)125:4(285)			7	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	218BZ	WOS:000081534500009					2020-01-29	
J	Zhang, Q; Stanley, SJ				Zhang, Q; Stanley, SJ			Real-time water treatment process control with artificial neural networks	JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE			English	Article							INTERNAL MODEL CONTROL; NONLINEAR-SYSTEMS	The coagulation, flocculation, and sedimentation processes involve many complex physical and chemical phenomena and thus are difficult to model for process control with traditional methods. Proposed is the use of a neural network process control system for the coagulation, flocculation, and sedimentation processes. Presented is a review of influential control parameters and control requirements for these processes followed by the development of a feed forward neural network control scheme. A neural network process model was built based on nearly 2,000 sets of process control data. This model formed the major component of a software controller and was found to consistently predict the optimum alum and power activated carbon doses for different control actions. With minor modifications, the approach illustrated can be used for building control models for other water treatment processes.	Univ Alberta, Dept Civil & Environm Engn, Environm Sci & Engn Program, Edmonton, AB T6G 2G7, Canada	Zhang, Q (reprint author), Univ Alberta, Dept Civil & Environm Engn, Environm Sci & Engn Program, Edmonton, AB T6G 2G7, Canada.						BHAT N, 1990, COMPUT CHEM ENG, V14, P573, DOI 10.1016/0098-1354(90)87028-N; ECONOMOU CG, 1986, IND ENG CHEM PROC DD, V25, P403, DOI 10.1021/i200033a010; GARCIA CE, 1985, IND ENG CHEM PROC DD, V24, P472, DOI 10.1021/i200029a043; GARCIA CE, 1982, IND ENG CHEM PROC DD, V21, P308, DOI 10.1021/i200017a016; GARCIA GE, 1985, IND ENG CHEM PROC DD, V24, P485; LI WC, 1988, IND ENG CHEM RES, V27, P1421, DOI 10.1021/ie00080a014; PSICHOGIOS DC, 1991, IND ENG CHEM RES, V30, P2564, DOI 10.1021/ie00060a009; Ungar L. H., 1990, NEURAL NETWORKS CONT, P387; YDSTIE BE, 1990, COMPUT CHEM ENG, V14, P583, DOI 10.1016/0098-1354(90)87029-O	9	68	76	0	15	ASCE-AMER SOC CIVIL ENGINEERS	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398 USA	0733-9372			J ENVIRON ENG-ASCE	J. Environ. Eng.-ASCE	FEB	1999	125	2					153	160		10.1061/(ASCE)0733-9372(1999)125:2(153)			8	Engineering, Environmental; Engineering, Civil; Environmental Sciences	Engineering; Environmental Sciences & Ecology	157TQ	WOS:000078078100007					2020-01-29	
S	Attolico, G; Itta, A; Cicirelli, G; D'Orazio, T		Reusch, B		Attolico, G.; Itta, A.; Cicirelli, G.; D'Orazio, T.			ART-based automatic generation of membership functions for fuzzy controllers in robotics	COMPUTATIONAL INTELLIGENCE: THEORY AND APPLICATIONS	Lecture Notes in Computer Science		English	Article							RULES	Designing fuzzy controllers involves both identifying suitable fuzzy dicretizations of the input and output spaces (number of fuzzy terms and related membership functions) and drawing effective rule bases (hopefully compact and complete). Learning from examples is a very efficient way for acquiring knowledge. Moreover, providing reliable examples is easier than directly designing and coding a control strategy. Supervised learning is therefore appealing for automatically building control systems. It may also be used as quick start-up for applications requiring further on-line learning (through reinforce-based techniques or processing of further appropriate examples). Supervised techniques for building rule bases from suitable examples generally rely on pre-defined fuzzy discretizations of the input and output spaces. This paper proposes the use of an ART-based neural architecture for identifying, starting from examples, an appropriate set of fuzzy terms and associated membership functions. These data are then used by an ID3-based machine learning algorithm for building fuzzy control rules. The ART framework provides fast convergence and incremental building of classes, gracefully accounting for the integration of new sample data. The whole chain (the neural architecture for building fuzzy discretizations and the machine learning algorithm for drawing fuzzy rules) has been proved on examples provided by several operators, with different skills, driving a real vehicle along the right-hand wall in an indoor environment. The obtained results are shown, discussed and compared with the performance of controllers using human defined fuzzy partitions.	CNR, IESI, I-70126 Bari, Italy	Attolico, G (reprint author), CNR, IESI, Via Amendola 166-5, I-70126 Bari, Italy.	attolico@iesi.ba.cnr.it	Cicirelli, Grazia/B-7699-2015	Cicirelli, Grazia/0000-0003-1562-0467; DORAZIO, TIZIANARITA/0000-0003-1473-7110			ABE S, 1995, IEEE T SYST MAN CYB, V25, P119, DOI 10.1109/21.362960; BAROGLIO C, 1996, LEARNING CONTROLLERS; Castellano G, 1997, ROBOT AUTON SYST, V22, P133, DOI 10.1016/S0921-8890(97)00036-5; Freeman J. A., 1991, NEURAL NETWORKS ALGO; GAIL A, 1991, NEURAL NETWORKS, V4, P493; GAIL A, 1987, APPL OPTICS, V26; GAIL A, 1987, COMPUTER VISION GRAP, V37, P54; HSU SC, 1995, IEEE INT CONF ROBOT, P287; REIGNIER P, 1995, ROBOT AUTON SYST, V16, P57, DOI 10.1016/0921-8890(95)00034-D; Wang L.-X., 1993, IEEE Transactions on Fuzzy Systems, V1, P146, DOI 10.1109/91.227383	10	2	2	0	0	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		3-540-66050-X	LECT NOTES COMPUT SC			1999	1625						259	271					13	Computer Science, Theory & Methods	Computer Science	BEI70	WOS:000237352100031					2020-01-29	
B	Tsubota, Y; Yamakawa, K		Yoshikawa, H; Yamamoto, R; Kimura, F; Suga, T; Umeda, Y		Tsubota, Y; Yamakawa, K			Energy conservation in TEPCO R & D centers	FIRST INTERNATIONAL SYMPOSIUM ON ENVIRONMENTALLY CONSCIOUS DEGIGN AND INVERSE MANUFACTURING, PROCEEDINGS			English	Proceedings Paper	1st International Symposium on Environmentally Conscious Design and Inverse Manufacturing (EcoDesign 99)	FEB 01-03, 1999	TOKYO, JAPAN	Inverse Mfg Forum, Japan Environm Management Assoc Ind, IEEE Comp Soc Tech Comm Electr Environm				TEPCO R&D Centers ni-e currently engaged in various efforts that aim to achieve a creative research environmental with lower energy consumption and to contribute ro create a pleasant environment in surrounding areas. Work being undertaken includes a fusion of architectural planning and system planning, the development of a Cold Air Distribution System using Ice Storage, and the promotion of energy conservation without loss of comfort in perimeter zones (window) by controlling heat and light. Furthermore, thanks to a next-generation building control system and precise energy operation management by the building operation working group, annual energy consumption is now about 1,356MJ/m2, showing an energy saving of 35%.	Tokyo Elect Power Co Ltd, Tsurumi Ku, Yokohama, Kanagawa 2308510, Japan	Tsubota, Y (reprint author), Tokyo Elect Power Co Ltd, Tsurumi Ku, 4-1 Egasaki Cho, Yokohama, Kanagawa 2308510, Japan.							0	3	3	0	0	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			0-7695-0007-2				1999							1008	1011		10.1109/ECODIM.1999.747757			4	Engineering, Environmental; Engineering, Industrial; Engineering, Manufacturing	Engineering	BM69T	WOS:000079494800185					2020-01-29	
B	Christenson, RE; Spencer, BF; Johnson, EA		Topping, BHV; Kumar, B		Christenson, RE; Spencer, BF; Johnson, EA			Coupled building control using active and smart damping strategies	OPTIMIZATION AND CONTROL IN CIVIL AND STRUCTURAL ENGINEERING			English	Proceedings Paper	7th International Conference on Civil and Structural Engineering/5th International Conference on the Applications of Artificial Intelligence to Civil and Structural Engineering	SEP 13-15, 1999	OXFORD, ENGLAND					Coupling adjacent buildings with supplemental damping devices is a developing method of mitigating structural responses due to wind and seismic excitations. The concept is to allow structures, vibrating at different frequencies, to exert control forces upon one another to reduce the overall responses of the system. Selecting a coupled building configuration that provides for the greatest response reduction is important in determining which building clusters are candidates for coupling. This paper studies the effect of the height, mass and stiffness of two actively coupled high-rise buildings and the location of a single coupling link. Connecting the buildings at the top of the shorter building provides the greatest response reduction. A particular coupled building system is used to shown that a smart damping strategy can achieve nearly the same performance as the active control strategy, giving 99% of the response reduction achievable in the active control.	Univ Notre Dame, Dept Civil Engn & Geol Sci, Notre Dame, IN 46556 USA	Christenson, RE (reprint author), Univ Notre Dame, Dept Civil Engn & Geol Sci, Notre Dame, IN 46556 USA.		Johnson, Erik/D-6954-2013				Dyke SJ, 1996, SMART MATER STRUCT, V5, P565, DOI 10.1088/0964-1726/5/5/006; DYKE SJ, 1996, [No title captured], P145; EZURE K, 1993, J JSME, P55; EZURE K, 1994, J JSME, P781; FUKUDA Y, 1996, P 3 INT C MOT VIBR C, V3, P12; GRAHAM MC, 1994, THESIS MIT; GURLEY K, 1994, STRUCTURAL SAFETY RE; IEMURA H, 1998, UNPUB DYNAMIC RESPON; IKAWA N, 1996, J JSME B, V42, P629; IWANAMI K, 1993, J JSME C, P69; IWANAMI K, 1986, J JSME C, V59, P3063; KAGEYAMA M, 1994, STUDY OPTIMAL DAMPIN, P1855; Kamagata K., 1996, P 3 INT C MOT VIBR C, V2, P334; KLEIN RE, 1987, P 2 INT C STRUCT CON, P354; Klein RE, 1972, 1972 ASME WINT ANN M; Kunieda M., 1976, J JSME, V79, P86; Luco JE, 1998, EARTHQUAKE ENG STRUC, V27, P649, DOI 10.1002/(SICI)1096-9845(199807)27:7<649::AID-EQE748>3.0.CO;2-5; LUCO JE, 1994, P 1 WORLD C STRUCT C, P21; MAEDA R, 1997, J JSME I, P506; MITSUTA S, 1992, J JSME C, V58, P64; MITSUTA S, 1992, J JSME C, P100; MITSUTA S, 1992, P 1 INT C MOT VIBR C, V1, P146; OKAWA E, 1990, J JSME B, P435; Seto K, 1996, IEEE DECIS CONTR P, P658, DOI 10.1109/CDC.1996.574407; SETO K, 1995, PROCEEDINGS OF THE 1995 AMERICAN CONTROL CONFERENCE, VOLS 1-6, P2344; Seto K, 1994, P 1 WORLD C STRUCT C; SETO K, 1998, UNPUB ACTIVE VIBRATI; SETO K, STRUCTURAL MODELING, P36; SETO K, 1994, J JSME C, V61, P145; SOONG TT, 1993, RANDOM VIBRATION MEC; Spencer BF, 1997, IEEE CONTR SYST MAG, V17, P19, DOI 10.1109/37.642972; SUGINO S, 1997, J JSME I, P502; TOBA Y, 1995, J JSME C, P75; TOBA Y, 1998, UNPUB VIBRATION CONT; TOBA Y, 1994, J JSME I, P525; Xu YL, 1999, ENG STRUCT, V21, P135, DOI 10.1016/S0141-0296(97)00154-5; Yamada Y., 1994, P 1 WORLD C STRUCT C	37	15	15	0	2	CIVIL COMP PRESS	EDINBURGH	10 SAXE-COBURG PLACE, EDINBURGH EH3 5BR, MIDLOTHIAN, SCOTLAND			0-948749-62-8				1999							187	195					9	Engineering, Civil; Mathematics, Applied; Mechanics	Engineering; Mathematics; Mechanics	BP26U	WOS:000084528100023					2020-01-29	
J	Bauer, M; Scartezzini, JL				Bauer, M; Scartezzini, JL			A simplified correlation method accounting for heating and cooling loads in energy-efficient buildings	ENERGY AND BUILDINGS			English	Article						correlation method; HVAC control system; energy-efficient buildings		Simplified correlation methods are powerful tools to compare both the energy performance of buildings and the efficiency of different HVAC control systems. For buildings in which both heating and cooling loads contribute to the energy consumption, widely used methods, like the energy signature models, are not appropriate, since they cannot simultaneously handle both heating and cooling aspects. This paper proposes a new correlation method to overcome this difficulty. The 'Eta method' deals with internal gains, as well as solar gains, and can be used to calculate a utilization factor for free gains in the heating and cooling periods. Two examples to illustrate the method are given. The first one is a passive solar office room, on which different blind controllers were tested by simulation. The second example is a non-residential building in which two HVAC controllers were carefully monitored. (C) 1998 Elsevier Science S.A.	Ecole Polytech Fed Lausanne, Solar Energy & Bldg Phys Lab, LESO PB, CH-1015 Lausanne, Switzerland	Bauer, M (reprint author), Ecole Polytech Fed Lausanne, Solar Energy & Bldg Phys Lab, LESO PB, CH-1015 Lausanne, Switzerland.						American Society of Heating Refrigerating and Air Conditioning Engineers, 1989, ASHRAE HDB FUND; BALCOMB JD, 1982, PASSIVE SOLAR J; BAUER M, 1997, UNPUB ENERGY BUILDIN; FAVRE P, 1983, SERIE EQUIPEMENT TEC, V106; FELS M, 1986, ENERGY BUILDINGS, V9; Garcia A.L., 1994, NUMERICAL METHODS PH; *GROUP RECH EN SOL, 1985, GUID SOL PASS; LACHAL B, 1992, ASHRAE T; OESTREICHER Y, 1996, ENERGY BUILDINGS, V24; RABL A, 1992, ENERGY BUILDINGS, V19; STRAM D, 1986, ENERGY BUILDINGS, V9	11	39	39	0	5	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0378-7788			ENERG BUILDINGS	Energy Build.	APR	1998	27	2					147	154		10.1016/S0378-7788(97)00035-2			8	Construction & Building Technology; Energy & Fuels; Engineering, Civil	Construction & Building Technology; Energy & Fuels; Engineering	ZE178	WOS:000072766000004					2020-01-29	
